image_id,file_name,label,technique,difficulty,source_dataset,source_id,subject_id,model_name,model_version,prompt,negative_prompt,seed,steps,guidance_scale,strength,sampler,width,height,compression,split,is_active,difficulty_intended,deliberate_cues,visual_review
pilot_ai_008,pilot/ai/pilot_ai_008.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_006,pair_006,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Interior of a lush tropical greenhouse viewed from an elevated walkway, dense green leaves and ferns throughout, bright glass roof with white beams above, ornate white cast iron spiral staircase descending along right side, central white pole and filigree lattice steps. Make a photo-like but more recognizable synthetic version: several staircase railing struts merge into neighboring bars and the lattice step geometry has inconsistent connections, foliage slightly waxy. Keep overall staircase shape readable. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,easy,"[""inconsistent staircase rail connections"", ""waxy foliage""]",Clearly warped and merged white railing elements and irregular stair geometry.
pilot_real_007,pilot/real/IMG_2190.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_007,pair_007,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_009,pilot/ai/pilot_ai_009.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_007,pair_007,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Sunny botanical garden pond with small white wooden footbridge crossing horizontally from left toward center, white diamond lattice railings, drooping willow on left, dense trees and shrubs around pond, purple flowering spikes in left foreground, reeds on right and leafy plants below. Blue sky above, still dark pond reflecting bridge and greenery. Photo-like with slightly too smooth water and overly regular repeating bridge lattice; keep broadly plausible reflections. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,medium,"[""overly regular lattice"", ""over-smoothed water""]",
pilot_real_008,pilot/real/IMG_2329.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_008,pair_008,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_010,pilot/ai/pilot_ai_010.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_008,pair_008,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Craft beer bar interior without people. Large wooden framed black chalkboard high on pale concrete wall with two columns and sixteen rows of colorful handwritten beer names and prices, trailing ivy at corners. Two smaller chalkboards beneath on left, long row of wooden-handled metal beer taps on right, wooden counter foreground with coasters, glasses, purple drink can, clear water bottle and snacks, bottles behind. Create a photo-like synthetic version with conspicuously garbled pseudo-lettering in several menu rows and subtly merged adjacent beer-tap fittings. No caption or AI label. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,easy,"[""garbled chalkboard lettering"", ""merged tap fittings""]",Most lettering is legible; requested garbled text did not materialize strongly. Intended easy difficulty not confirmed.
pilot_real_010,pilot/real/IMG_6210.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_010,pair_010,,,,,,,,,,2048,1536,JPEG,pilot,true,,,
pilot_ai_011,pilot/ai/pilot_ai_011.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_010,pair_010,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Landscape 4:3. Ordinary lived-in domestic L-shaped kitchen with honey oak and dark brown cabinets, beige countertop, white tiled backsplash with narrow decorative border, sink under very bright left window, dish rack and dishes, red pot on cooktop rear center-right beneath stainless hood, built-in oven at far right, white tiled floor. Cropped dining table with grey patterned cloth and metal chairs at right foreground, bright balcony door far left. Mildly polished synthetic surfaces and slightly inconsistent cabinet handle proportions but realistic room geometry. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1448,1086,PNG,pilot,true,medium,"[""over-polished surfaces"", ""inconsistent handle proportions""]",
pilot_real_011,pilot/real/IMG_6434.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_011,pair_011,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_012,pilot/ai/pilot_ai_012.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_011,pair_011,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. A single light grey-brown dairy cow standing broadside on a grassy rocky alpine slope, head turned toward camera on right, full body and hooves visible, black collar with metal cowbell and yellow ear tags. Green rolling pasture and thin electric fence behind, two jagged grey mountain peaks in distance, pale blue sky with small white clouds, ordinary midday travel snapshot with foreground cow partly shaded. Natural anatomy, irregular fur, realistic light and texture. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,hard,[],
pilot_real_012,pilot/real/IMG_8806.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_012,pair_012,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_013,pilot/ai/pilot_ai_013.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_012,pair_012,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Six brown-and-white cows gathered on steep green alpine meadow in mist, nearest cow lower center facing camera, other cows staggered behind, yellow ear tags and small cowbells, blue drinking bowl set into old black tire on right, another bowl left, dark conifer forest disappearing into fog, small cable-car cabin suspended on diagonal cable near upper left, thin fence wire at bottom. Photo-like synthetic version with a subtly duplicated extra foreleg on nearest cow and slightly merged legs of overlapping background cows; keep scene otherwise credible and non-cartoon. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,easy,"[""extra foreleg"", ""merged background legs""]",Nearest cow has five visible legs; clear anatomical cue.
pilot_real_013,pilot/real/IMG_9257.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_013,pair_013,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_014,pilot/ai/pilot_ai_014.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_013,pair_013,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Quiet pebbly Mediterranean shoreline under heavy grey storm clouds. Pale pebble beach curves from bottom foreground toward left middle, clear calm turquoise-grey sea occupies right, weathered white seaside building with shutters and small balcony at upper left above rough stone seawall, low dark pier in middle distance, tiny white boat offshore and distant low coast. Slightly tilted handheld smartphone composition, muted natural colors, realistic small ripples and irregular pebbles. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,hard,[],
pilot_real_014,pilot/real/IMG_9440.JPEG,photo,original,unknown,pilot_2026_09,pilot_real_014,pair_014,,,,,,,,,,1536,2048,JPEG,pilot,true,,,
pilot_ai_015,pilot/ai/pilot_ai_015.png,ai,text_to_image,unknown,pilot_2026_09,pilot_real_014,pair_014,built-in image_gen,not exposed by tool,"Use case: photorealistic-natural. Asset type: synthetic image for a visual AI-recognition research pilot. Generate one new image from this text description only. Portrait 3:4. Alpine lake with milky turquoise water in lower third and a large pale grey ridged boulder protruding near lower left-center, conifer-covered slope beyond, immense rugged grey limestone mountain towers dominating center, scree slopes and a few small snow patches, vivid blue sky with wispy white clouds. Photo-like travel shot with slightly exaggerated turquoise saturation, overly crisp rock microtexture and somewhat too silky water, no fantasy elements. Single image, no collage, no border, no added watermark or explanatory text. Preserve ordinary photographic framing.",,,,,,,1086,1448,PNG,pilot,true,medium,"[""exaggerated turquoise"", ""over-crisp rocks"", ""silky water""]",
